RegionID,RegionName,StateName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
273778,Foxhill,Virginia,759,,,,,179700,170900,169600,174800,173900,183600,188100,187100,178500,172900,166400,167900,168100,168300,169900,170800,182000,177400,187100,171000,166400,156300,159500,165700,171100,169300,162600,158100,186900,195200,193600,173700,172900,184100,194700,187600,189300,189400,194200,191400,183800,188400,194000,213700,222500,234400,232300,238600,235700,232200,235200,208700,212100,205500,216300,222200,226700,235700,213600
270105,Downtown,Minnesota,760,,164800,135900,153900,153000,178400,176600,167100,163900,153800,164600,175700,185900,177600,170000,167600,168900,172200,164500,172800,174800,179900,161300,160700,161700,186400,182600,178400,187600,188100,189800,174600,180600,185500,195900,185700,194900,209900,226500,210200,191100,176300,187300,193700,207900,198200,186500,171300,177400,178400,194300,194900,204500,205900,201400,195600,187300,191800,193300,200500,208400,212700,204600
54490,South Yarmouth,Massachusetts,761,256900,264700,279300,273200,271000,281500,271100,275800,270400,276600,281400,276800,275900,271500,266300,262900,274900,276800,282100,270900,280600,296200,299900,301600,282500,284400,285900,292900,302800,299800,300700,297100,298600,295000,295700,306200,319000,324900,325400,323300,316300,325200,329700,337800,334000,329200,329700,314900,319200,313300,323800,321900,330900,332500,334800,316300,310800,313100,332200,334800,335500,360700,382300
343502,Southland-Deerfield-Open Gates,Kentucky,762,135400,132600,141400,141100,145000,139900,144300,137700,143200,144700,148600,150800,144800,157700,156200,159300,151200,152500,156300,151100,154800,158000,161400,155400,159000,164400,167500,158400,153400,152100,151700,156700,156300,161100,156300,157500,163200,176300,177800,174000,161200,163800,160300,177800,175500,174900,168100,178600,184800,180300,168600,156800,148400,152000,166200,173500,164700,170600,175100,185500,180900,190900,204100
344038,Emerson-Garfield,Washington,763,103800,109200,115400,112800,108000,107400,112800,113000,103800,102100,107000,112900,108600,104700,103200,114300,116700,123400,116800,124000,128300,130100,123800,109900,115400,119300,132700,133000,137600,138800,143600,145600,149900,146400,154000,161300,170600,169600,174200,168600,160400,153000,144900,143300,146900,154700,160700,156500,163600,164400,156900,164100,169300,186300,180300,177100,172200,172500,187500,193200,191800,181900,175800
268776,West Colfax,Colorado,764,,,,,415600,369500,400400,382500,379800,381300,377100,375600,386500,390500,398400,400300,419100,422900,401900,436700,466900,478600,447300,449000,446200,473800,468700,495500,489600,489300,491700,492700,476800,463100,469700,484500,499800,499100,528500,549500,544500,514400,507100,518700,539300,529900,540200,521500,509400,489400,519300,542700,543100,517500,499800,522100,571800,568500,570200,590900,585000,576300,
229812,South Knoxville,Tennessee,765,,,,,,,,,,,,,,,72000,75400,80700,81800,87500,84400,85500,87000,94000,94000,93000,102700,102900,92000,79800,87700,92500,99200,92600,91300,92300,89400,89800,85200,96700,113500,112300,111800,102500,106300,109500,116500,115500,119200,115100,138600,134900,142500,122600,117900,123200,131500,145800,137800,139300,137300,145800,154000,160700
208180,Bear Valley,California,766,262100,265900,262700,259200,257100,255200,261900,259300,266900,269700,277900,297100,291500,291700,273300,284200,290600,280800,276600,277700,289400,290600,286200,300300,288400,295800,283500,299000,306700,316800,316700,312300,314000,324800,328900,330600,339900,349400,360000,344400,344400,337000,341100,333400,336200,340100,354800,346000,393700,378600,405600,361100,394100,369000,365100,344500,367100,376700,389300,390900,381400,380800,
343863,Wade,North Carolina,767,410400,378600,380200,402600,405100,427200,455200,512000,451700,408900,411300,475300,545000,529600,470200,469400,474100,533800,426700,445700,433600,499100,473300,438700,423700,472700,522100,514200,490500,468900,519300,475700,487800,467900,497700,508200,474800,478800,458400,482700,494100,529000,546800,541700,538400,558500,507700,484200,485600,539300,606900,591200,565100,540100,504400,565400,532800,520500,522900,579600,667500,676200,752100
144216,Valley Mills,Indiana,768,104500,111200,110400,108500,107000,105000,107700,101900,107600,111100,116100,113200,113900,112200,113700,110300,111400,110600,112700,109900,112200,113200,116100,114900,111000,114000,114500,119600,119400,119600,119600,121700,123700,125400,126600,128500,132800,128600,132100,134600,137300,136700,131300,136200,135300,138600,136800,138900,139300,146400,148900,150500,145600,142700,142600,144200,150600,150600,152500,149100,149600,154900,159800
